id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1254058,2,16,1,AB de Villiers,DT Christian,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,16,2,DT Christian,AB de Villiers,JJ Bumrah,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,16,3,DT Christian,AB de Villiers,JJ Bumrah,0,0,0,0,1,caught,DT Christian,RD Chahar,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,16,4,KA Jamieson,AB de Villiers,JJ Bumrah,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,16,5,KA Jamieson,AB de Villiers,JJ Bumrah,3,0,3,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,16,6,AB de Villiers,KA Jamieson,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,17,1,AB de Villiers,KA Jamieson,TA Boult,6,0,6,0,8,NA,NA,NA,NA,Royal Challengers Bangalore,mi
1254058,2,17,2,AB de Villiers,KA Jamieson,TA Boult,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,17,3,KA Jamieson,AB de Villiers,TA Boult,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,17,4,AB de Villiers,KA Jamieson,TA Boult,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,17,5,AB de Villiers,KA Jamieson,TA Boult,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,17,6,AB de Villiers,KA Jamieson,TA Boult,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,1,AB de Villiers,KA Jamieson,JJ Bumrah,4,0,4,0,0,NA,,,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,2,AB de Villiers,KA Jamieson,JJ Bumrah,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,3,AB de Villiers,KA Jamieson,JJ Bumrah,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,4,AB de Villiers,KA Jamieson,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,5,KA Jamieson,AB de Villiers,JJ Bumrah,0,0,0,0,1,run out,KA Jamieson,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,18,6,AB de Villiers,HV Patel,JJ Bumrah,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,1,AB de Villiers,HV Patel,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,2,HV Patel,AB de Villiers,M Jansen,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,3,HV Patel,AB de Villiers,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,4,AB de Villiers,HV Patel,M Jansen,1,0,1,0,1,run out,AB de Villiers,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,5,Mohammed Siraj,HV Patel,M Jansen,0,1,1,0,0,NA,NA,NA,legbyes,Royal Challengers Bangalore,Mumbai Indians
1254058,2,19,6,HV Patel,Mohammed Siraj,M Jansen,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
1254059,1,0,1,RD Gaikwad,F du Plessis,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,0,2,RD Gaikwad,F du Plessis,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,CSK,Delhi Capitals
1254059,1,0,3,RD Gaikwad,F du Plessis,CR Woakes,4,0,4,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,0,4,RD Gaikwad,F du Plessis,CR Woakes,0,1,1,0,0,NA,NA,NA,legbyes,Chennai Super Kings,Delhi Capitals
1254059,1,0,5,F du Plessis,RD Gaikwad,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,0,6,F du Plessis,RD Gaikwad,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,1,RD Gaikwad,F du Plessis,Avesh Khan,0,1,1,0,0,NA,NA,NA,wides,Chennai Super Kings,Delhi Capitals
1254059,1,1,2,RD Gaikwad,F du Plessis,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,3,RD Gaikwad,F du Plessis,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,4,RD Gaikwad,F du Plessis,Avesh Khan,1,0,1,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,5,F du Plessis,RD Gaikwad,Avesh Khan,0,0,0,0,1,lbw,F du Plessis,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,6,MM Ali,RD Gaikwad,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,1,7,MM Ali,RD Gaikwad,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,2,1,RD Gaikwad,MM Ali,CR Woakes,0,0,0,0,1,caught,RD Gaikwad,S Dhawan,NA,Chennai Super Kings,Delhi Capitals
1254059,1,2,2,SK Raina,MM Ali,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,2,3,SK Raina,MM Ali,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,2,4,SK Raina,MM Ali,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,DC
1254059,1,2,5,SK Raina,MM Ali,CR Woakes,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,2,6,SK Raina,MM Ali,CR Woakes,4,0,4,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,1,MM Ali,SK Raina,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,2,MM Ali,SK Raina,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,3,MM Ali,SK Raina,Avesh Khan,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,4,MM Ali,SK Raina,Avesh Khan,4,0,4,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,5,MM Ali,SK Raina,Avesh Khan,4,0,4,0,9,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,3,6,MM Ali,SK Raina,Avesh Khan,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,4,1,MM Ali,SK Raina,R Ashwin,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,4,2,SK Raina,MM Ali,R Ashwin,0,0,0,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,4,3,SK Raina,MM Ali,R Ashwin,4,0,4,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,4,4,SK Raina,MM Ali,R Ashwin,4,0,4,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,4,5,SK Raina,MM Ali,R Ashwin,0,1,1,0,0,NA,Not Applicable,NA,legbyes,Chennai Super Kings,Delhi Capitals
1254059,1,4,6,MM Ali,SK Raina,R Ashwin,0,0,0,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,1,SK Raina,MM Ali,TK Curran,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,2,MM Ali,SK Raina,TK Curran,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,3,SK Raina,MM Ali,TK Curran,0,0,0,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,4,SK Raina,MM Ali,TK Curran,0,0,0,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,5,SK Raina,MM Ali,TK Curran,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,5,6,MM Ali,SK Raina,TK Curran,0,0,0,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,DC
1254059,1,6,1,SK Raina,MM Ali,R Ashwin,1,0,1,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,DC
1254059,1,6,2,MM Ali,SK Raina,R Ashwin,4,0,4,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,DC
1254059,1,6,3,MM Ali,SK Raina,R Ashwin,4,0,4,0,0,NA,Not Applicable,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,6,4,MM Ali,SK Raina,R Ashwin,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,6,5,MM Ali,SK Raina,R Ashwin,1,0,1,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,6,6,SK Raina,MM Ali,R Ashwin,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,1,MM Ali,SK Raina,A Mishra,2,0,2,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,2,MM Ali,SK Raina,A Mishra,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,3,MM Ali,SK Raina,A Mishra,0,0,0,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,4,MM Ali,SK Raina,A Mishra,1,0,1,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,5,SK Raina,MM Ali,A Mishra,1,0,1,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
1254059,1,7,6,MM Ali,SK Raina,A Mishra,1,0,1,0,0,NA,NA,NA,NA,Chennai Super Kings,Delhi Capitals
